Ref,Project name,Country,Date online,Decomission date,Status,Technology,Technology_details,Technology_electricity,Technology_electricity_details,Product,EndUse_Refining,EndUse_Ammonia,EndUse_Methanol,EndUse_Iron&Steel,EndUse_Other Ind,EndUse_Mobility,EndUse_Power,EndUse_Grid inj.,EndUse_CHP,EndUse_Domestic heat,EndUse_Biofuels,EndUse_Synfuels,EndUse_CH4 grid inj.,EndUse_CH4 mobility,Announced Size,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,IEA zero-carbon estimated normalized capacity [Nm³ H₂/hour],Location
3,H2GO Energy Park Oude-Tonge - 1st phase,NLD,2025.0,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,2.5MW,2.5,556.0,0.4,556.0,Oude-Tonge
4,H2GO Energy Park Oude-Tonge - 2nd phase,NLD,2030.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,26MW,26.0,5778.0,4.5,5778.0,Oude-Tonge
6,Norsk e-Fuel Phase 1,NOR,2028.0,,Feasibility study,SOEC,,Dedicated renewable,Others/Various,Synfuels,,,,,,,,,,,,1.0,,,50 million litres of synthetic kerosene per year production,257.491,67761.0,52.8,67761.0,Mosjøen
8,HYBRIT pilot,SWE,2021.0,,Operational,ALK,,Grid,,H2,,,,1.0,,,,,,,,,,,4.5MW,4.5,978.0,0.8,978.0,Luleå
9,HYBRIT demo,SWE,2028.0,,FID/Construction,ALK,,Grid,,H2,,,,1.0,,,,,,,,,,,500 MW - 1.3 Mt DRI,500.0,108696.0,84.7,108696.0,Luleå
10,Iberdrola - Puertollano I,ESP,2022.0,,Operational,PEM,,Grid+Renewables,Solar PV,Ammonia,,1.0,,,,,,,,,,,,,20 MW,20.0,3846.0,3.0,3846.0,Fertiberia plant in Puertollano
11,Green Hysland Mallorca - Phase 1,ESP,2022.0,,Operational,PEM,,Dedicated renewable,Solar PV,H2,,,,,1.0,1.0,,,,,,,1.0,,2.5 MW,2.5,481.0,0.4,481.0,Lloseta
14,CRI project in Norway (Circlenergy),NOR,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,MeOH,,,1.0,,,,,,,,,,,,110 MW,110.0,24444.0,19.1,24444.0,Finnjord
15,ARIES project,USA,2022.0,,DEMO,PEM,,Other/unknown,,H2,,,,,,,,,,,,,,,1 MW,1.0,192.0,0.1,192.0,Arvada (Colorado)
16,Fukushima Hydrogen Energy Research Field,JPN,2020.0,2023.0,Operational,ALK,,Dedicated renewable,Solar PV,H2,,,,,,1.0,1.0,,,,,,,,10 MW,10.0,2174.0,1.7,2174.0,Fukushima
17,Hydrospider - St Gallen,CHE,2020.0,,Operational,PEM,,Dedicated renewable,Hydropower,H2,,,,,,1.0,,,,,,,,,2 MW,2.0,385.0,0.3,385.0,St Gallen
18,"H2APEX Energy, Rostock-Laage",DEU,2021.0,,Operational,ALK,,Grid,,H2,,,,,,1.0,,,1.0,,,,,,2 MW,2.0,435.0,0.3,435.0,Laage
