Country,Technology,Cost,Value (€/kg),Year
Austria,Grid electrolysis,CAPEX,2.761182013,2024.0
Belgium,Grid electrolysis,CAPEX,2.761182013,2024.0
Bulgaria,Grid electrolysis,CAPEX,2.761182013,2024.0
Croatia,Grid electrolysis,CAPEX,2.761182013,2024.0
Czechia,Grid electrolysis,CAPEX,2.761182013,2024.0
Cyprus,Grid electrolysis,CAPEX,2.761182013,2024.0
Denmark,Grid electrolysis,CAPEX,2.761182013,2024.0
Estonia,Grid electrolysis,CAPEX,2.761182013,2024.0
Finland,Grid electrolysis,CAPEX,2.761182013,2024.0
France,Grid electrolysis,CAPEX,2.761182013,2024.0
Germany,Grid electrolysis,CAPEX,2.761182013,2024.0
Greece,Grid electrolysis,CAPEX,2.761182013,2024.0
Hungary,Grid electrolysis,CAPEX,2.761182013,2024.0
Ireland,Grid electrolysis,CAPEX,2.761182013,2024.0
Italy,Grid electrolysis,CAPEX,2.761182013,2024.0
Latvia,Grid electrolysis,CAPEX,2.761182013,2024.0
Lithuania,Grid electrolysis,CAPEX,2.761182013,2024.0
Luxembourg,Grid electrolysis,CAPEX,2.761182013,2024.0
Malta,Grid electrolysis,CAPEX,2.761182013,2024.0
Netherlands,Grid electrolysis,CAPEX,2.761182013,2024.0
Norway,Grid electrolysis,CAPEX,2.761182013,2024.0
Poland,Grid electrolysis,CAPEX,2.761182013,2024.0
Portugal,Grid electrolysis,CAPEX,2.761182013,2024.0
Romania,Grid electrolysis,CAPEX,2.761182013,2024.0
Slovakia,Grid electrolysis,CAPEX,2.761182013,2024.0
Slovenia,Grid electrolysis,CAPEX,2.761182013,2024.0
Spain,Grid electrolysis,CAPEX,2.761182013,2024.0
Sweden,Grid electrolysis,CAPEX,2.761182013,2024.0
Switzerland,Grid electrolysis,CAPEX,2.761182013,2024.0
United Kingdom,Grid electrolysis,CAPEX,2.761182013,2024.0
Austria,Grid electrolysis,Grid Fees,1.395582689,2024.0
Belgium,Grid electrolysis,Grid Fees,0.503058876,2024.0
Bulgaria,Grid electrolysis,Grid Fees,1.092665516,2024.0
Croatia,Grid electrolysis,Grid Fees,0.930388459,2024.0
Czechia,Grid electrolysis,Grid Fees,2.369245029,2024.0
Cyprus,Grid electrolysis,Grid Fees,1.000708517,2024.0
Denmark,Grid electrolysis,Grid Fees,1.336081101,2024.0
Estonia,Grid electrolysis,Grid Fees,1.54163204,2024.0
Finland,Grid electrolysis,Grid Fees,0.72483752,2024.0
France,Grid electrolysis,Grid Fees,0.849249931,2024.0
Germany,Grid electrolysis,Grid Fees,2.147466385,2024.0
Greece,Grid electrolysis,Grid Fees,0.530105052,2024.0
Hungary,Grid electrolysis,Grid Fees,1.860776918,2024.0
Ireland,Grid electrolysis,Grid Fees,0.843840695,2024.0
Italy,Grid electrolysis,Grid Fees,0.784339108,2024.0
Latvia,Grid electrolysis,Grid Fees,0.665335933,2024.0
Lithuania,Grid electrolysis,Grid Fees,1.703909097,2024.0
Luxembourg,Grid electrolysis,Grid Fees,0.557151228,2024.0
